BINHO;1000 YATIRIMLAR HOLDİNG A.Ş.
AVOD;A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.
A1CAP;A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.
A1YEN;A1 YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.
ACSEL;ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.
ADEL;ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.
ADESE;ADESE GAYRİMENKUL YATIRIM A.Ş.
ADGYO;ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
AFYON;AFYON ÇİMENTO SANAYİ T.A.Ş.
AGHOL;AG ANADOLU GRUBU HOLDİNG A.Ş.
AGESA;AGESA HAYAT VE EMEKLİLİK A.Ş.
AGROT;AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.
AHSGY;AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
AHGAZ;AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.
AKBNK;AKBANK T.A.Ş.
AKCNS;AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.
AKYHO;AKDENİZ YATIRIM HOLDİNG A.Ş.
AKENR;AKENERJİ ELEKTRİK ÜRETİM A.Ş.
AKFGY;AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
AKFIS;AKFEN İNŞAAT TURİZM VE TİCARET A.Ş.
AKFYE;AKFEN YENİLENEBİLİR ENERJİ A.Ş.
AKSGY;AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
AKMGY;AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
AKSA;AKSA AKRİLİK KİMYA SANAYİİ A.Ş.
AKSEN;AKSA ENERJİ ÜRETİM A.Ş.
AKGRT;AKSİGORTA A.Ş.
AKSUE;AKSU ENERJİ VE TİCARET A.Ş.
ALCAR;ALARKO CARRIER SANAYİ VE TİCARET A.Ş.
ALGYO;ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
ALARK;ALARKO HOLDİNG A.Ş.
ALBRK;ALBARAKA TÜRK KATILIM BANKASI A.Ş.
ALCTL;ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.
ALFAS;ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.
ALKIM;ALKİM ALKALİ KİMYA A.Ş.
ALKA;ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.
ALTNY;ALTINAY SAVUNMA TEKNOLOJİLERİ A.Ş.
ALKLC;ALTINKILIÇ GIDA VE SÜT SANAYİ TİCARET A.Ş.
AYCES;ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.
ALVES;ALVES KABLO SANAYİ VE TİCARET A.Ş.
ANSGR;ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ
AEFES;ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.
ANHYT;ANADOLU HAYAT EMEKLİLİK A.Ş.
ASUZU;ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.
ANGEN;ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.
ANELE;ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.
ARCLK;ARÇELİK A.Ş.
ARDYZ;ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.
ARENA;ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.
ARMGD;ARMADA GIDA TİCARET SANAYİ A.Ş.
ARSAN;ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.
ARTMS;ARTEMİS HALI A.Ş.
ARZUM;ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.
ASGYO;ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
ASELS;ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.
ASTOR;ASTOR ENERJİ A.Ş.
ATAGY;ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
ATAKP;ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.
AGYO;ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
ATATP;ATP YAZILIM VE TEKNOLOJİ A.Ş.
AVGYO;AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
AVTUR;AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.
AVPGY;AVRUPAKENT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
AVHOL;AVRUPA YATIRIM HOLDİNG A.Ş.
AYDEM;AYDEM YENİLENEBİLİR ENERJİ A.Ş.
AYEN;AYEN ENERJİ A.Ş.
AYES;AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.
AYGAZ;AYGAZ A.Ş.
AZTEK;AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.
BAGFS;BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.
BAHKM;BAHADIR KİMYA SANAYİ VE TİCARET A.Ş.
BAKAB;BAK AMBALAJ SANAYİ VE TİCARET A.Ş.
BALAT;BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.
BALSU;BALSU GIDA SANAYİ VE TİCARET A.Ş.
BNTAS;BANTAŞ BANDIRMA AMBALAJ SANAYİ VE TİCARET A.Ş.
BANVT;BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİ A.Ş.
BARMA;BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.
BASGZ;BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
BASCM;BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.
BTCIM;BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.
BEGYO;BATI EGE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
BSOKE;BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.
BYDNR;BAYDÖNER RESTORANLARI A.Ş.
BAYRK;BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.
BERA;BERA HOLDİNG A.Ş.
BRKSN;BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.
BESLR;BESLER GIDA VE KİMYA SANAYİ VE TİCARET A.Ş.
BJKAS;BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.
BEYAZ;BEYAZ FİLO OTO KİRALAMA A.Ş.
BIENY;BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.
BLCYT;BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.
BIMAS;BİM BİRLEŞİK MAĞAZALAR A.Ş.
BINBN;BİN ULAŞIM VE AKILLI ŞEHİR TEKNOLOJİLERİ A.Ş.
BIOEN;BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.
BRKVY;BİRİKİM VARLIK YÖNETİM A.Ş.
BIGEN;BİRLEŞİM GRUP ENERJİ YATIRIMLARI A.Ş.
BRLSM;BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.
BIZIM;BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.
BMSTL;BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.
BMSCH;BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.
BOBET;BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.
BORLS;BORLEASE OTOMOTİV A.Ş.
BORSK;BOR ŞEKER A.Ş.
BRSAN;BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.
BRYAT;BORUSAN YATIRIM VE PAZARLAMA A.Ş.
BFREN;BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.
BOSSA;BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.
BRISA;BRİSA BRİDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.
BULGS;BULLS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
BURCE;BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.
BURVA;BURÇELİK VANA SANAYİ VE TİCARET A.Ş.
BUCIM;BURSA ÇİMENTO FABRİKASI A.Ş.
BVSAN;BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.
BIGCH;BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.
CRFSA;CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.
CEMZY;CEM ZEYTİN A.Ş.
CEOEM;CEO EVENT MEDYA A.Ş.
CCOLA;COCA-COLA İÇECEK A.Ş.
CONSE;CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.
COSMO;COSMOS YATIRIM HOLDİNG A.Ş.
CRDFA;CREDITWEST FAKTORİNG A.Ş.
CVKMD;CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.
CWENE;CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.
CGCAM;ÇAĞDAŞ CAM SANAYİ VE TİCARET A.Ş.
CANTE;ÇAN2 TERMİK A.Ş.
CATES;ÇATES ELEKTRİK ÜRETİM A.Ş.
CLEBI;ÇELEBİ HAVA SERVİSİ A.Ş.
CELHA;ÇELİK HALAT VE TEL SANAYİİ A.Ş.
CEMAS;ÇEMAŞ DÖKÜM SANAYİ A.Ş.
CEMTS;ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.
CMBTN;ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.
CMENT;ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.
CIMSA;ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.
CUSAN;ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.
DAGI;DAGİ GİYİM SANAYİ VE TİCARET A.Ş.
DAGHL;DAGİ YATIRIM HOLDİNG A.Ş.
DAPGM;DAP GAYRİMENKUL GELİŞTİRME A.Ş.
DARDL;DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.
DGATE;DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.
DCTTR;DCT TRADİNG DIŞ TİCARET A.Ş.
DMSAS;DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.
DENGE;DENGE YATIRIM HOLDİNG A.Ş.
DZGYO;DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
DERIM;DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.
DERHL;DERLÜKS YATIRIM HOLDİNG A.Ş.
DESA;DESA DERİ SANAYİ VE TİCARET A.Ş.
DESPC;DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.
DSTKF;DESTEK FİNANS FAKTORİNG A.Ş.
DEVA;DEVA HOLDİNG A.Ş.
DNISI;DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.
DITAS;DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.
DMRGD;DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.
DOCO;DO & CO AKTIENGESELLSCHAFT
DOFER;DOFER YAPI MALZEMELERİ SANAYİ VE TİCARET A.Ş.
DOBUR;DOĞAN BURDA DERGİ YAYINCILIK VE PAZARLAMA A.Ş.
DGNMO;DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.
DOHOL;DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.
ARASE;DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.
DOGUB;DOĞUSAN BORU SANAYİ VE TİCARET A.Ş.
DGGYO;DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
DOAS;DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.
DOKTA;DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.
DURDO;DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.
DURKN;DURUKAN ŞEKERLEME SANAYİ VE TİCARET A.Ş.
DYOBY;DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.
EBEBK;EBEBEK MAĞAZACILIK A.Ş.
ECZYT;ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.
EDATA;E-DATA TEKNOLOJİ PAZARLAMA A.Ş.
EDIP;EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.
EFORC;EFOR ÇAY SANAYİ TİCARET A.Ş.
EGEEN;EGE ENDÜSTRİ VE TİCARET A.Ş.
EGGUB;EGE GÜBRE SANAYİİ A.Ş.
EPLAS;EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.
EGPRO;EGE PROFİL TİCARET VE SANAYİ A.Ş.
EGSER;EGE SERAMİK SANAYİ VE TİCARET A.Ş.
EGEGY;EGEYAPI AVRUPA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
ECILC;EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.
EKOS;EKOS TEKNOLOJİ VE ELEKTRİK A.Ş.
EKSUN;EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.
ELITE;ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.
EMKEL;EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.
EKGYO;EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
ENDAE;ENDA ENERJİ HOLDİNG A.Ş.
ENJSA;ENERJİSA ENERJİ A.Ş.
ENERY;ENERYA ENERJİ A.Ş.
ENKAI;ENKA İNŞAAT VE SANAYİ A.Ş.
ENSRI;ENSARİ SINAİ YATIRIMLAR A.Ş.
ERBOS;ERBOSAN ERCİYAS BORU SANAYİ VE TİCARET A.Ş.
ERCB;ERCİYAS ÇELİK BORU SANAYİ A.Ş.
EREGL;EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.
KIMMR;ERSAN ALIŞVERİŞ HİZMETLERİ VE GIDA SANAYİ TİCARET A.Ş.
ERSU;ERSU MEYVE VE GIDA SANAYİ A.Ş.
ESCAR;ESCAR FİLO KİRALAMA HİZMETLERİ A.Ş.
ESCOM;ESCORT TEKNOLOJİ YATIRIM A.Ş.
ESEN;ESENBOĞA ELEKTRİK ÜRETİM A.Ş.
ETILR;ETİLER GIDA VE TİCARİ YATIRIMLAR SANAYİ VE TİCARET A.Ş.
TEZOL;EUROPAP TEZOL KAĞIT SANAYİ VE TİCARET A.Ş.
EUREN;EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.
EUPWR;EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.
EYGYO;EYG GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
FADE;FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.
FMIZP;FEDERAL MOGUL İZMİT PİSTON VE PİM ÜRETİM TESİSLERİ A.Ş.
FENER;FENERBAHÇE FUTBOL A.Ş.
FLAP;FLAP KONGRE TOPLANTI HİZMETLERİ OTOMOTİV VE TURİZM A.Ş.
FONET;FONET BİLGİ TEKNOLOJİLERİ A.Ş.
FROTO;FORD OTOMOTİV SANAYİ A.Ş.
FORMT;FORMET METAL VE CAM SANAYİ A.Ş.
FORTE;FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş.
FRIGO;FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.
FZLGY;FUZUL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
GSRAY;GALATASARAY SPORTİF SINAİ VE TİCARİ YATIRIMLAR A.Ş.
GWIND;GALATA WIND ENERJİ A.Ş.
GARFA;GARANTİ FAKTORİNG A.Ş.
GEDIK;GEDİK YATIRIM MENKUL DEĞERLER A.Ş.
GEDZA;GEDİZ AMBALAJ SANAYİ VE TİCARET A.Ş.
GLCVY;GELECEK VARLIK YÖNETİMİ A.Ş.
GENIL;GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
GENTS;GENTAŞ DEKORATİF YÜZEYLER SANAYİ VE TİCARET A.Ş.
GEREL;GERSAN ELEKTRİK TİCARET VE SANAYİ A.Ş.
GZNMI;GEZİNOMİ SEYAHAT TURİZM TİCARET A.Ş.
GIPTA;GIPTA OFİS KIRTASİYE VE PROMOSYON ÜRÜNLERİ İMALAT SANAYİ A.Ş.
GMTAS;GİMAT MAĞAZACILIK SANAYİ VE TİCARET A.Ş.
GESAN;GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş.
GLBMD;GLOBAL MENKUL DEĞERLER A.Ş.
GLYHO;GLOBAL YATIRIM HOLDİNG A.Ş.
GOODY;GOODYEAR LASTİKLERİ T.A.Ş.
GOKNR;GÖKNUR GIDA MADDELERİ ENERJİ İMALAT İTHALAT İHRACAT TİCARET VE SANAYİ A.Ş.
GOLTS;GÖLTAŞ GÖLLER BÖLGESİ ÇİMENTO SANAYİ VE TİCARET A.Ş.
GOZDE;GÖZDE GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
GRTHO;GRAINTURK HOLDİNG A.Ş.
GSDDE;GSD DENİZCİLİK GAYRİMENKUL İNŞAAT SANAYİ VE TİCARET A.Ş.
GSDHO;GSD HOLDİNG A.Ş.
GUBRF;GÜBRE FABRİKALARI T.A.Ş.
GLRMK;GÜLERMAK AĞIR SANAYİ İNŞAAT VE TAAHHÜT A.Ş.
GLRYH;GÜLER YATIRIM HOLDİNG A.Ş.
